env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n020.yaml,clutter,20.0,rrt-connect,5,23,1,0.1375,0.1379,376.932,39,46,28,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,24,1,0.2133,0.2137,399.799,41,67,80,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,25,1,0.4787,0.4793,421.668,44,120,228,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,26,1,0.5348,0.5352,546.307,56,108,153,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,27,1,0.2306,0.2309,433.574,45,66,66,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,28,1,0.2184,0.2188,411.082,43,53,59,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,29,1,0.2419,0.2424,465.454,48,73,81,
clutter_n030.yaml,clutter,30.0,rrt,5,0,1,0.0712,0.0717,260.0,27,27,4,
clutter_n030.yaml,clutter,30.0,rrt,5,1,1,0.1795,0.1799,378.532,39,45,17,
clutter_n030.yaml,clutter,30.0,rrt,5,2,1,1.6422,1.6427,535.846,55,365,366,
clutter_n030.yaml,clutter,30.0,rrt,5,3,1,0.3351,0.3354,330.0,34,85,35,
clutter_n030.yaml,clutter,30.0,rrt,5,4,1,0.0697,0.0699,276.248,29,29,5,
clutter_n030.yaml,clutter,30.0,rrt,5,5,1,0.0695,0.0698,260.0,27,27,4,
clutter_n030.yaml,clutter,30.0,rrt,5,6,1,0.068,0.0684,250.0,26,26,2,
clutter_n030.yaml,clutter,30.0,rrt,5,7,1,0.0696,0.07,256.332,27,27,3,
clutter_n030.yaml,clutter,30.0,rrt,5,8,1,0.2077,0.2079,452.922,47,57,13,
clutter_n030.yaml,clutter,30.0,rrt,5,9,1,0.2901,0.2906,359.327,38,82,31,
clutter_n030.yaml,clutter,30.0,rrt,5,10,1,0.3077,0.308,385.193,40,64,19,
clutter_n030.yaml,clutter,30.0,rrt,5,11,1,0.4201,0.4207,390.0,40,97,51,
clutter_n030.yaml,clutter,30.0,rrt,5,12,1,0.4062,0.4065,383.246,40,94,34,
clutter_n030.yaml,clutter,30.0,rrt,5,13,1,0.5256,0.5263,520.0,53,133,91,
clutter_n030.yaml,clutter,30.0,rrt,5,14,1,0.2402,0.2406,350.0,36,52,32,
clutter_n030.yaml,clutter,30.0,rrt,5,15,1,0.0743,0.0745,256.83,27,27,3,
clutter_n030.yaml,clutter,30.0,rrt,5,16,1,0.0803,0.0806,267.377,28,29,7,
clutter_n030.yaml,clutter,30.0,rrt,5,17,1,0.4756,0.4761,480.0,49,128,91,
clutter_n030.yaml,clutter,30.0,rrt,5,18,1,0.1396,0.1402,328.572,34,35,16,
clutter_n030.yaml,clutter,30.0,rrt,5,19,1,0.3071,0.3076,323.815,34,68,19,
clutter_n030.yaml,clutter,30.0,rrt,5,20,1,1.1177,1.1183,456.526,48,257,200,
clutter_n030.yaml,clutter,30.0,rrt,5,21,1,0.0954,0.0959,305.094,32,32,8,
clutter_n030.yaml,clutter,30.0,rrt,5,22,1,0.2156,0.216,378.753,39,53,25,
clutter_n030.yaml,clutter,30.0,rrt,5,23,1,0.8796,0.8799,443.71,46,185,120,
